customer_id,total_transactions,purchase_count,days_as_customer,days_since_last_purchase,total_spent
CUST-ACT-00105,148,148,732,30,25863.19
CUST-ACT-00106,104,104,57,50,37587.26
CUST-ACT-00107,58,58,138,98,37030.25
CUST-ACT-00108,91,91,48,8,26750.3
CUST-ACT-00109,42,42,863,157,22996.28
CUST-ACT-00110,74,74,147,11,47171.23
CUST-ACT-00111,58,58,187,97,56223.52
CUST-ACT-00112,56,56,392,111,47368.2
CUST-ACT-00113,85,85,112,3,7143.96
CUST-ACT-00114,74,74,446,116,20395.54
CUST-ACT-00115,17,17,990,45,5373.43
CUST-ACT-00116,45,45,926,6,6384.79
CUST-ACT-00117,102,102,667,73,12019.84
CUST-ACT-00118,54,54,572,94,55515.55
CUST-ACT-00119,112,112,927,40,14652.19
CUST-ACT-00120,92,92,404,147,10792.8
CUST-ACT-00121,4,4,549,73,52421.29
CUST-ACT-00122,121,121,529,92,40843.95
CUST-ACT-00123,74,74,802,7,1385.81
CUST-ACT-00124,81,81,723,87,9930.09
CUST-ACT-00125,12,12,932,24,67461.22
CUST-ACT-00126,71,71,258,135,61211.79
CUST-ACT-00127,44,44,667,173,6339.14
CUST-ACT-00128,121,121,866,157,52397.16
CUST-ACT-00129,108,108,910,21,26491.15
CUST-ACT-00130,93,93,323,148,36800.9
CUST-ACT-00131,62,62,941,1,64553.68
CUST-ACT-00132,74,74,303,142,2870.2
CUST-ACT-00133,74,74,794,85,36731.37
CUST-ACT-00134,50,50,336,142,17119.57
CUST-ACT-00135,99,99,412,149,48357.8
CUST-ACT-00136,13,13,615,18,37124.97
CUST-ACT-00137,144,144,795,91,1180.1
CUST-ACT-00138,60,60,496,174,53663.51
CUST-ACT-00139,14,14,743,71,2309.3
CUST-ACT-00140,86,86,704,51,20814.91
CUST-ACT-00141,115,115,717,64,48926.38
CUST-ACT-00142,68,68,957,152,36813.16
CUST-ACT-00143,77,77,341,59,72140.05
CUST-ACT-00144,15,15,210,131,39695.85
CUST-ACT-00145,72,72,319,135,26275.27
CUST-ACT-00146,86,86,577,68,56641.25
CUST-ACT-00147,112,112,157,45,49401.96
CUST-ACT-00148,109,109,626,40,11422.93
CUST-ACT-00149,64,64,346,111,41744.16
CUST-ACT-00150,120,120,114,155,7244.74
CUST-ACT-00151,8,8,411,135,45496.16
CUST-ACT-00152,75,75,177,113,7300.99
CUST-ACT-00153,99,99,40,52,39622.12
CUST-ACT-00154,38,38,809,142,43735.6
CUST-ACT-00155,14,14,101,109,44968.26
CUST-ACT-00156,145,145,408,51,64044.65
CUST-ACT-00157,92,92,496,144,17354.73
CUST-ACT-00158,10,10,393,9,39158.35
CUST-ACT-00159,87,87,148,114,23028.91
CUST-ACT-00160,98,98,191,170,36386.45
CUST-ACT-00161,80,80,290,70,12608.16
CUST-ACT-00162,39,39,415,80,16220.76
CUST-ACT-00163,141,141,414,165,63440.96
CUST-ACT-00164,17,17,108,23,48907.33
CUST-ACT-00165,90,90,255,7,25043.8
CUST-ACT-00166,62,62,913,66,60817.45
CUST-ACT-00167,103,103,938,62,32697.98
CUST-ACT-00168,110,110,440,45,45551.35
CUST-ACT-00169,50,50,286,70,47239.08
CUST-ACT-00170,133,133,966,119,18175.71
CUST-ACT-00171,49,49,146,94,35069.97
CUST-ACT-00172,83,83,279,14,47585.95
CUST-ACT-00173,73,73,656,15,47583.28
CUST-ACT-00174,139,139,763,139,57287.72
CUST-ACT-00175,77,77,945,143,42770.13
CUST-ACT-00176,33,33,548,44,21328.48
CUST-ACT-00177,1,1,355,33,1669.92
CUST-ACT-00178,125,125,582,78,39848.93
CUST-ACT-00179,114,114,249,75,8255.16
CUST-ACT-00180,34,34,643,133,18431.65
CUST-ACT-00181,52,52,690,167,15997.55
CUST-ACT-00182,12,12,823,80,39341.47
CUST-ACT-00183,137,137,799,127,46851.73
CUST-ACT-00184,147,147,449,102,28683.76
CUST-ACT-00185,127,127,650,151,58946.97
CUST-ACT-00186,111,111,751,90,74396.98
CUST-ACT-00187,49,49,364,16,40719.94
CUST-ACT-00188,75,75,565,110,12986.1
CUST-ACT-00189,142,142,374,74,62430.32
CUST-ACT-00190,15,15,101,54,74316.23
CUST-ACT-00191,116,116,177,124,11248.68
CUST-ACT-00192,83,83,490,130,49995.98
CUST-ACT-00193,52,52,480,44,9399.69
CUST-ACT-00194,133,133,880,136,59279.86
CUST-ACT-00195,131,131,695,89,2724.27
CUST-ACT-00196,96,96,222,4,44770.36
CUST-ACT-00197,4,4,212,141,8374.39
CUST-ACT-00198,69,69,791,142,36874.49
CUST-ACT-00199,126,126,386,40,46533.91
CUST-ACT-00200,134,134,598,69,45354.19
CUST-ACT-00201,90,90,263,144,17164.32
CUST-ACT-00202,149,149,759,162,66477.02
CUST-ACT-00203,113,113,516,46,57228.68
CUST-ACT-00204,72,72,110,68,60740.28
CUST-ACT-00205,85,85,809,167,35917.67
CUST-ACT-00206,142,142,217,33,28702.58
CUST-ACT-00207,60,60,915,107,4322.1
CUST-ACT-00208,130,130,751,124,42537.16
CUST-ACT-00209,123,123,782,99,14886.01
CUST-ACT-00210,42,42,240,145,66843.88
CUST-ACT-00211,47,47,232,49,27115.02
CUST-ACT-00212,74,74,594,173,72648.68
CUST-ACT-00213,138,138,339,19,33805.77
CUST-ACT-00214,14,14,832,94,54827.98
CUST-ACT-00215,64,64,369,115,50689.31
CUST-ACT-00216,140,140,62,85,39020.02
CUST-ACT-00217,93,93,439,87,50551.88
CUST-ACT-00218,69,69,721,39,62365.28
CUST-ACT-00219,95,95,725,157,10775.87
CUST-ACT-00220,34,34,64,69,20501.84
CUST-ACT-00221,130,130,886,136,72389.45
CUST-ACT-00222,92,92,868,28,51131.03
CUST-ACT-00223,1,1,984,50,63012.61
CUST-ACT-00224,85,85,88,166,11818.55
CUST-ACT-00225,141,141,515,159,65792.87
CUST-ACT-00226,29,29,516,70,46653.23
CUST-ACT-00227,22,22,364,4,28876.95
CUST-ACT-00228,22,22,369,2,11371.91
CUST-ACT-00229,56,56,248,145,11699.5
CUST-ACT-00230,138,138,217,138,14957.3
CUST-ACT-00231,58,58,908,87,44829.53
CUST-ACT-00232,133,133,646,154,8718.59
CUST-ACT-00233,19,19,958,95,37831.25
CUST-ACT-00234,27,27,601,133,72179.34
CUST-ACT-00235,67,67,942,160,48869.72
CUST-ACT-00236,99,99,326,120,2233.92
CUST-ACT-00237,19,19,188,16,28442.49
CUST-ACT-00238,40,40,473,79,53678.67
CUST-ACT-00239,78,78,288,14,27674.04
CUST-ACT-00240,128,128,354,85,16394.47
CUST-ACT-00241,39,39,914,154,6776.7
CUST-ACT-00242,73,73,781,145,6796.01
CUST-ACT-00243,97,97,531,104,12587.64
CUST-ACT-00244,117,117,170,139,32581.11
CUST-ACT-00245,47,47,315,140,24960.95
CUST-ACT-00246,140,140,427,142,68532.79
CUST-ACT-00247,121,121,914,159,32924.79
CUST-ACT-00248,74,74,448,57,72205.59
CUST-ACT-00249,75,75,536,86,49509.54
CUST-ACT-00250,45,45,869,8,3801.01
CUST-ACT-00251,143,143,559,103,45382.25
CUST-ACT-00252,129,129,450,169,5048.46
CUST-ACT-00253,50,50,419,86,71640.12
CUST-ACT-00254,101,101,614,89,73970.26
CUST-ACT-00255,24,24,326,65,43613.83
CUST-ACT-00256,70,70,290,5,73744.28
CUST-ACT-00257,137,137,75,20,1676.29
CUST-ACT-00258,126,126,719,47,29317.15
CUST-ACT-00259,14,14,419,25,9999.2
CUST-ACT-00260,96,96,124,11,55396.37
CUST-ACT-00261,128,128,852,131,52557.86
CUST-ACT-00262,121,121,186,51,6067.46
CUST-ACT-00263,22,22,605,152,31746.15
CUST-ACT-00264,135,135,646,102,17211.86
CUST-ACT-00265,143,143,569,61,17879.94
CUST-ACT-00266,52,52,908,138,56559.81
CUST-ACT-00267,89,89,868,112,40108.49
CUST-ACT-00268,146,146,34,104,2784.07
CUST-ACT-00269,87,87,580,51,5056.41
CUST-ACT-00270,108,108,652,5,62515.64
CUST-ACT-00271,107,107,305,86,57175.86
CUST-ACT-00272,69,69,809,48,10454.89
CUST-ACT-00273,98,98,82,35,6791.51
CUST-ACT-00274,49,49,89,83,41479.23
CUST-ACT-00275,60,60,755,27,28120.86
CUST-ACT-00276,62,62,376,100,69868.76
CUST-ACT-00277,19,19,941,100,36261.02
CUST-ACT-00278,27,27,778,99,48842.3
CUST-ACT-00279,127,127,319,148,59796.57
CUST-ACT-00280,77,77,591,162,65298.85
CUST-ACT-00281,34,34,72,133,13590.07
CUST-ACT-00282,74,74,563,118,7980.37
CUST-ACT-00283,6,6,992,176,46071.02
CUST-ACT-00284,147,147,616,115,21310.7
CUST-ACT-00285,9,9,319,122,48233.42
CUST-ACT-00286,144,144,71,46,40242.82
CUST-ACT-00287,53,53,489,136,65972.7
CUST-ACT-00288,48,48,880,101,45685.29
CUST-ACT-00289,123,123,425,9,46510.71
CUST-ACT-00290,18,18,859,41,3625.22
CUST-ACT-00291,6,6,257,122,32001.15
CUST-ACT-00292,11,11,682,90,70898.02
CUST-ACT-00293,59,59,267,124,68398.12
CUST-ACT-00294,25,25,217,14,52963.23
CUST-ACT-00295,70,70,788,21,70602.22
CUST-ACT-00296,1,1,412,149,15935.23
CUST-ACT-00297,47,47,919,62,53131.19
CUST-ACT-00298,67,67,962,14,3878.43
CUST-ACT-00299,55,55,464,46,37469.15
CUST-ACT-00300,77,77,185,131,19246.96
CUST-ACT-00301,112,112,252,92,54603.15
CUST-ACT-00302,49,49,545,74,32227.35
CUST-ACT-00303,104,104,881,57,26747.66
CUST-ACT-00304,96,96,352,178,28317.64
CUST-ACT-00305,40,40,381,117,33826.56
CUST-ACT-00306,22,22,571,169,2045.26
CUST-ACT-00307,12,12,279,117,941.63
CUST-ACT-00308,40,40,65,160,70417.59
CUST-ACT-00309,69,69,113,69,50928.86
CUST-ACT-00310,139,139,316,139,51951.77
CUST-ACT-00311,120,120,804,74,19024.01
CUST-ACT-00312,76,76,842,56,7265.51
CUST-ACT-00313,40,40,856,171,8684.0
CUST-ACT-00314,102,102,354,26,60328.95
CUST-ACT-00315,62,62,248,115,42984.16
CUST-ACT-00316,124,124,823,87,24006.37
CUST-ACT-00317,6,6,986,20,46342.27
CUST-ACT-00318,53,53,756,20,74438.92
CUST-ACT-00319,68,68,647,74,50680.67
CUST-ACT-00320,81,81,199,169,21002.82
CUST-ACT-00321,99,99,999,79,50029.16
CUST-ACT-00322,27,27,641,155,60326.11
CUST-ACT-00323,61,61,809,73,59106.67
CUST-ACT-00324,32,32,423,101,42086.54
CUST-ACT-00325,26,26,316,162,15005.82
CUST-ACT-00326,59,59,68,75,2965.63
CUST-ACT-00327,36,36,698,42,69574.26
CUST-ACT-00328,40,40,714,168,36172.5
CUST-ACT-00329,125,125,668,137,55853.21
CUST-ACT-00330,10,10,581,61,40640.88
CUST-ACT-00331,40,40,982,61,12495.32
CUST-ACT-00332,41,41,567,80,41019.05
CUST-ACT-00333,115,115,507,20,13287.58
CUST-ACT-00334,118,118,249,113,70606.0
CUST-ACT-00335,67,67,705,91,6181.68
CUST-ACT-00336,66,66,426,74,35833.72
CUST-ACT-00337,83,83,773,75,2221.42
CUST-ACT-00338,42,42,416,46,29129.58
CUST-ACT-00339,105,105,875,66,29234.05
CUST-ACT-00340,57,57,594,144,46331.3
CUST-ACT-00341,22,22,760,78,63792.21
CUST-ACT-00342,3,3,232,142,34886.53
CUST-ACT-00343,46,46,796,113,70837.52
CUST-ACT-00344,29,29,435,30,50716.29
CUST-ACT-00345,13,13,335,2,10800.18
CUST-ACT-00346,52,52,43,54,40350.02
CUST-ACT-00347,59,59,54,171,69646.16
CUST-ACT-00348,141,141,271,104,43586.06
CUST-ACT-00349,39,39,791,88,29595.43
CUST-ACT-00350,86,86,893,93,7004.85
CUST-ACT-00351,114,114,444,85,10194.04
CUST-ACT-00352,119,119,895,53,32919.58
CUST-ACT-00353,132,132,616,98,27222.44
CUST-ACT-00354,115,115,251,7,72229.27
CUST-ACT-00355,117,117,815,176,62890.95
CUST-ACT-00356,80,80,841,47,55245.35
CUST-ACT-00357,32,32,810,27,41368.08
CUST-ACT-00358,6,6,703,141,22739.61
CUST-ACT-00359,9,9,569,116,55245.1
CUST-ACT-00360,121,121,113,107,22600.61
CUST-ACT-00361,39,39,887,51,39417.64
CUST-ACT-00362,63,63,122,52,14464.86
CUST-ACT-00363,88,88,956,165,58753.97
CUST-ACT-00364,13,13,295,46,22561.52
CUST-ACT-00365,115,115,504,39,23990.75
CUST-ACT-00366,48,48,983,166,68203.29
CUST-ACT-00367,60,60,450,57,37903.03
CUST-ACT-00368,1,1,168,100,62939.7
CUST-ACT-00369,56,56,809,146,33333.61
CUST-ACT-00370,41,41,236,165,3086.35
CUST-ACT-00371,54,54,411,154,20904.2
CUST-ACT-00372,71,71,92,175,59342.31
CUST-ACT-00373,100,100,126,105,29977.26
CUST-ACT-00374,55,55,587,117,18723.08
CUST-ACT-00375,4,4,190,25,63035.3
CUST-ACT-00376,146,146,573,88,61404.13
CUST-ACT-00377,69,69,237,22,18655.32
CUST-ACT-00378,20,20,547,9,14003.97
CUST-ACT-00379,101,101,493,65,1050.27
CUST-ACT-00380,112,112,106,119,37333.98
CUST-ACT-00381,70,70,307,102,28672.01
CUST-ACT-00382,42,42,600,97,30562.37
CUST-ACT-00383,53,53,780,171,50961.53
CUST-ACT-00384,29,29,592,65,22180.31
CUST-ACT-00385,118,118,604,38,74607.72
CUST-ACT-00386,131,131,775,20,40525.07
CUST-ACT-00387,24,24,941,172,23889.96
CUST-ACT-00388,71,71,639,44,67329.61
CUST-ACT-00389,116,116,455,106,31794.24
CUST-ACT-00390,130,130,233,7,17049.74
CUST-ACT-00391,143,143,429,97,8034.31
CUST-ACT-00392,80,80,432,132,14421.62
CUST-ACT-00393,49,49,687,16,74256.59
CUST-ACT-00394,14,14,195,80,26034.07
CUST-ACT-00395,97,97,843,19,36393.81
CUST-ACT-00396,9,9,530,83,39730.22
CUST-ACT-00397,148,148,756,9,41059.2
CUST-ACT-00398,98,98,750,145,1981.94
CUST-ACT-00399,19,19,234,27,28674.71
CUST-ACT-00400,90,90,59,56,38190.08
CUST-ACT-00401,98,98,707,162,66219.39
CUST-ACT-00402,18,18,688,132,70071.15
CUST-ACT-00403,24,24,442,5,25266.28
CUST-ACT-00404,39,39,578,2,57091.23
CUST-ACT-00405,49,49,811,1,11385.32
CUST-ACT-00406,125,125,891,83,48113.57
CUST-ACT-00407,140,140,581,152,72296.95
CUST-ACT-00408,92,92,104,15,72889.48
CUST-ACT-00409,2,2,767,121,42490.28
CUST-ACT-00410,149,149,494,120,21167.05
CUST-ACT-00411,135,135,333,54,47341.77
CUST-ACT-00412,46,46,558,152,14027.48
CUST-ACT-00413,114,114,157,160,32040.82
CUST-ACT-00414,2,2,101,154,40963.58
CUST-ACT-00415,31,31,947,54,4127.51
CUST-ACT-00416,55,55,153,50,60598.89
CUST-ACT-00417,77,77,543,22,15611.85
CUST-ACT-00418,76,76,529,34,67381.71
CUST-ACT-00419,148,148,214,70,61927.25
CUST-ACT-00420,31,31,69,66,24621.81
CUST-ACT-00421,79,79,245,59,66772.22
CUST-ACT-00422,78,78,313,93,30877.95
CUST-ACT-00423,43,43,502,68,8854.66
CUST-ACT-00424,141,141,714,88,65640.97
CUST-ACT-00425,111,111,942,1,17834.96
CUST-ACT-00426,85,85,795,40,71535.2
CUST-ACT-00427,134,134,481,81,32939.61
CUST-ACT-00428,85,85,782,81,61422.61
CUST-ACT-00429,78,78,584,113,26900.87
CUST-ACT-00430,140,140,730,68,4679.14
CUST-ACT-00431,82,82,453,28,20116.83
CUST-ACT-00432,16,16,542,100,16051.62
CUST-ACT-00433,117,117,557,151,58061.98
CUST-ACT-00434,45,45,761,33,54481.83
CUST-ACT-00435,78,78,385,167,50851.94
CUST-ACT-00436,98,98,626,114,61534.31
CUST-ACT-00437,54,54,529,120,5901.92
CUST-ACT-00438,7,7,441,139,32293.95
CUST-ACT-00439,17,17,783,62,74998.29
CUST-ACT-00440,25,25,101,80,4177.21
CUST-ACT-00441,14,14,277,77,54840.11
CUST-ACT-00442,29,29,763,148,52137.8
CUST-ACT-00443,25,25,241,30,57478.01
CUST-ACT-00444,18,18,706,65,26095.99
CUST-ACT-00445,115,115,667,72,22952.71
CUST-ACT-00446,133,133,928,67,68237.11
CUST-ACT-00447,26,26,413,24,17492.68
CUST-ACT-00448,42,42,708,83,22936.56
CUST-ACT-00449,12,12,321,47,15599.82
CUST-ACT-00450,97,97,899,162,51001.06
CUST-ACT-00451,41,41,360,106,12929.97
CUST-ACT-00452,131,131,422,54,34370.35
CUST-ACT-00453,42,42,574,129,26510.37
CUST-ACT-00454,118,118,838,97,36975.89
CUST-ACT-00455,49,49,272,67,72314.21
CUST-ACT-00456,64,64,272,5,13092.1
CUST-ACT-00457,124,124,656,104,42414.98
CUST-ACT-00458,100,100,75,156,30084.1
CUST-ACT-00459,88,88,249,90,62650.24
CUST-ACT-00460,49,49,191,69,59107.03
CUST-ACT-00461,37,37,466,164,72749.13
CUST-ACT-00462,3,3,747,133,60609.73
CUST-ACT-00463,86,86,871,129,8139.45
CUST-ACT-00464,49,49,351,29,71587.88
CUST-ACT-00465,38,38,831,11,60464.38
CUST-ACT-00466,28,28,315,86,37731.8
CUST-ACT-00467,48,48,655,34,23445.75
CUST-ACT-00468,2,2,456,120,42626.02
CUST-ACT-00469,45,45,613,69,30437.76
CUST-ACT-00470,47,47,78,169,68797.59
CUST-ACT-00471,59,59,879,136,44926.42
CUST-ACT-00472,85,85,135,145,22054.49
CUST-ACT-00473,90,90,210,67,65055.63
CUST-ACT-00474,141,141,671,76,19266.5
CUST-ACT-00475,52,52,502,74,45694.15
CUST-ACT-00476,100,100,312,109,21699.89
CUST-ACT-00477,14,14,860,159,35949.63
CUST-ACT-00478,11,11,884,113,10790.94
CUST-ACT-00479,124,124,102,176,70210.86
CUST-ACT-00480,40,40,127,34,47713.06
CUST-ACT-00481,146,146,292,52,44506.68
CUST-ACT-00482,38,38,878,42,4163.89
CUST-ACT-00483,23,23,561,152,60179.08
CUST-ACT-00484,20,20,545,71,62996.81
CUST-ACT-00485,60,60,703,139,6692.62
CUST-ACT-00486,56,56,623,100,26969.4
CUST-ACT-00487,138,138,88,28,19158.47
CUST-ACT-00488,71,71,621,156,41759.15
CUST-ACT-00489,53,53,442,91,35778.63
CUST-ACT-00490,40,40,406,124,60963.41
CUST-ACT-00491,131,131,481,33,56612.69
CUST-ACT-00492,68,68,888,75,29095.68
CUST-ACT-00493,14,14,364,163,25436.8
CUST-ACT-00494,71,71,886,120,52454.69
CUST-ACT-00495,40,40,523,11,30723.2
CUST-ACT-00496,85,85,576,91,59207.79
CUST-ACT-00497,96,96,199,107,67726.2
CUST-ACT-00498,6,6,706,99,63039.89
CUST-ACT-00499,69,69,726,25,42199.93
CUST-ACT-00500,110,110,471,111,59107.01
CUST-ACT-00501,86,86,585,148,45030.56
CUST-ACT-00502,70,70,558,59,74472.68
CUST-ACT-00503,86,86,198,178,6937.08
CUST-ACT-00504,40,40,406,110,39329.6
CUST-ACT-00505,107,107,688,30,74957.52
CUST-ACT-00506,8,8,124,27,2844.36
CUST-ACT-00507,111,111,215,16,32484.33
CUST-ACT-00508,116,116,911,76,34531.18
CUST-ACT-00509,137,137,37,82,4790.71
CUST-ACT-00510,89,89,248,5,13699.17
CUST-ACT-00511,14,14,609,107,33191.15
CUST-ACT-00512,108,108,356,165,6265.01
CUST-ACT-00513,131,131,449,143,60594.33
CUST-ACT-00514,130,130,609,130,63536.39
CUST-ACT-00515,115,115,804,177,52833.74
CUST-ACT-00516,97,97,429,119,37255.11
CUST-ACT-00517,81,81,777,4,9045.07
CUST-ACT-00518,22,22,367,113,58319.35
CUST-ACT-00519,36,36,582,157,29367.76
CUST-ACT-00520,145,145,216,151,61337.24
CUST-ACT-00521,145,145,153,165,66985.38
CUST-ACT-00522,113,113,957,16,8756.64
CUST-ACT-00523,57,57,638,76,45704.52
CUST-ACT-00524,101,101,718,46,71128.57
CUST-ACT-00525,60,60,486,81,50075.63
CUST-ACT-00526,132,132,851,65,46049.39
CUST-ACT-00527,90,90,996,89,22984.92
CUST-ACT-00528,5,5,308,164,35363.78
CUST-ACT-00529,47,47,359,72,11586.25
CUST-ACT-00530,113,113,101,59,34065.93
CUST-ACT-00531,14,14,40,128,6875.06
CUST-ACT-00532,133,133,469,168,67952.57
CUST-ACT-00533,121,121,173,52,17959.81
CUST-ACT-00534,78,78,164,102,55770.83
CUST-ACT-00535,146,146,291,88,10381.46
CUST-ACT-00536,50,50,370,135,55078.04
CUST-ACT-00537,14,14,397,31,67846.45
CUST-ACT-00538,28,28,865,127,52616.72
CUST-ACT-00539,136,136,165,92,44120.45
CUST-ACT-00540,51,51,805,83,48000.8
CUST-ACT-00541,127,127,760,57,6902.35
CUST-ACT-00542,115,115,159,16,40083.17
CUST-ACT-00543,6,6,111,57,10402.77
CUST-ACT-00544,58,58,486,179,52482.06
CUST-ACT-00545,101,101,862,141,39921.17
CUST-ACT-00546,96,96,712,110,71962.97
CUST-ACT-00547,129,129,478,122,57638.2
CUST-ACT-00548,115,115,306,43,52481.14
CUST-ACT-00549,56,56,110,68,65187.87
CUST-ACT-00550,122,122,591,33,17806.06
CUST-ACT-00551,52,52,364,71,2064.11
CUST-ACT-00552,99,99,653,58,48129.84
CUST-ACT-00553,5,5,211,19,24911.63
CUST-ACT-00554,12,12,853,68,33722.34
CUST-ACT-00555,129,129,579,154,58124.03
CUST-ACT-00556,115,115,284,23,10598.75
CUST-ACT-00557,56,56,395,18,16867.63
CUST-ACT-00558,74,74,458,156,4481.16
CUST-ACT-00559,96,96,947,138,8467.13
CUST-ACT-00560,1,1,876,140,17524.67
CUST-ACT-00561,140,140,713,172,16230.94
CUST-ACT-00562,130,130,483,131,35016.56
CUST-ACT-00563,26,26,931,81,57370.42
CUST-ACT-00564,105,105,341,110,7327.63
CUST-ACT-00565,112,112,79,102,33346.55
CUST-ACT-00566,62,62,332,83,71686.46
CUST-ACT-00567,44,44,543,150,7579.38
CUST-ACT-00568,111,111,755,78,37504.72
CUST-ACT-00569,7,7,341,63,4368.15
CUST-ACT-00570,57,57,553,23,65740.24
CUST-ACT-00571,109,109,253,73,48247.73
CUST-ACT-00572,45,45,995,61,71551.54
CUST-ACT-00573,99,99,393,76,13100.35
CUST-ACT-00574,1,1,437,104,72527.86
CUST-ACT-00575,21,21,382,131,26247.08
CUST-ACT-00576,139,139,66,5,8946.82
CUST-ACT-00577,143,143,210,127,57275.83
CUST-ACT-00578,21,21,745,100,73110.7
CUST-ACT-00579,92,92,386,122,13869.61
