event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,actual_dwell,average_dwell,dwell_duration_seconds,avg_dwell_baseline_seconds,yard_queue_count,yard_max_capacity,weather_condition,weather_exception,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id
EV-010055,LGS-1055-ROUTE,HUB-NEWYORK,HUB-LOSANGELES,HUB-HOUSTON,2026-08-01T00:27:23Z,CUSTOMS_CLEARANCE,2632,2400,2632,2400,7,30,SNOWSTORM,False,MODERATE,48.1217,-61.4347,2026-08-02T12:27:23Z,CR-DHL
EV-010056,LGS-1056-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:28:07Z,CUSTOMS_CLEARANCE,5406,4800,5406,4800,29,30,MODERATE,False,HEAVY,42.1377,-63.9565,2026-08-02T12:28:07Z,CR-UPS
EV-010057,LGS-1057-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:28:31Z,WAYPOINT_SCAN,2322,2400,2322,2400,9,30,CLEAR,False,MODERATE,45.4883,-49.7393,2026-08-04T00:28:31Z,CR-FEDEX
EV-010058,LGS-1058-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:28:51Z,CUSTOMS_CLEARANCE,6067,3600,6067,3600,1,30,CLEAR,False,MODERATE,35.4282,-81.7517,2026-08-02T12:28:51Z,CR-UPS
EV-010059,LGS-1059-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:29:29Z,CUSTOMS_CLEARANCE,3364,3600,3364,3600,24,30,MODERATE,False,MODERATE,31.571,-115.3527,2026-08-02T00:29:29Z,CR-MAERSK
EV-010060,LGS-1060-ROUTE,HUB-LOSANGELES,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:29:53Z,YARD_DEPARTURE,5432,4800,5432,4800,20,30,CLEAR,False,LOW,44.4425,-74.0965,2026-08-04T00:29:53Z,CR-USPS
EV-010061,LGS-1061-ROUTE,HUB-CHICAGO,HUB-FRANKFURT,HUB-SINGAPORE,2026-08-01T00:30:33Z,YARD_DEPARTURE,3740,2400,3740,2400,29,30,CLEAR,False,LOW,47.0189,-26.3999,2026-08-03T00:30:33Z,CR-DHL
EV-010062,LGS-1062-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-ATLANTA,2026-08-01T00:31:05Z,HUB_INGEST,5009,3600,5009,3600,10,30,CLEAR,False,LOW,46.9381,-59.179,2026-08-04T00:31:05Z,CR-DHL
EV-010063,LGS-1063-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-ATLANTA,2026-08-01T00:31:34Z,HUB_INGEST,3733,3600,3733,3600,11,30,CLEAR,False,LOW,44.3638,-9.6207,2026-08-04T00:31:34Z,CR-UPS
EV-010064,LGS-1064-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-SEATTLE,2026-08-01T00:31:57Z,HUB_INGEST,6715,4800,6715,4800,21,30,CLEAR,False,HEAVY,28.7516,-100.406,2026-08-03T00:31:57Z,CR-FEDEX
EV-010065,LGS-1065-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-NEWYORK,2026-08-01T00:32:33Z,CUSTOMS_CLEARANCE,7971,4800,7971,4800,12,30,CLEAR,True,LOW,30.9883,-95.0219,2026-08-02T12:32:33Z,CR-USPS
EV-010066,LGS-1066-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-HOUSTON,2026-08-01T00:32:57Z,WAYPOINT_SCAN,5162,2400,5162,2400,1,30,SNOWSTORM,True,LOW,38.5118,-38.0181,2026-08-03T00:32:57Z,CR-FEDEX
EV-010067,LGS-1067-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-ATLANTA,2026-08-01T00:33:35Z,YARD_DEPARTURE,1225,3600,1225,3600,21,30,MODERATE,False,MODERATE,38.6985,-14.5073,2026-08-02T00:33:35Z,CR-UPS
EV-010068,LGS-1068-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-CHICAGO,2026-08-01T00:34:02Z,TRANSFER_ARRIVE,2900,2400,2900,2400,25,30,CLEAR,False,MODERATE,38.1905,-31.1063,2026-08-02T12:34:02Z,CR-FEDEX
EV-010069,LGS-1069-ROUTE,HUB-SEATTLE,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:34:37Z,WAYPOINT_SCAN,2206,2400,2206,2400,8,30,CLEAR,False,LOW,47.303,-65.0588,2026-08-04T00:34:37Z,CR-USPS
EV-010070,LGS-1070-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-SINGAPORE,2026-08-01T00:35:04Z,TRANSFER_ARRIVE,6067,4800,6067,4800,24,30,MODERATE,False,LOW,28.3853,-5.7614,2026-08-02T12:35:04Z,CR-USPS
EV-010071,LGS-1071-ROUTE,HUB-MIAMI,HUB-LOSANGELES,HUB-DETROIT,2026-08-01T00:35:32Z,CUSTOMS_CLEARANCE,4262,2400,4262,2400,6,30,CLEAR,False,LOW,46.3911,-33.8087,2026-08-02T12:35:32Z,CR-FEDEX
EV-010072,LGS-1072-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MIAMI,2026-08-01T00:35:58Z,TRANSFER_ARRIVE,1621,2400,1621,2400,12,30,CLEAR,True,MODERATE,25.603,-12.2993,2026-08-02T00:35:58Z,CR-UPS
EV-010073,LGS-1073-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:36:34Z,HUB_INGEST,5241,3600,5241,3600,9,30,MODERATE,False,LOW,33.723,-2.9792,2026-08-02T12:36:34Z,CR-USPS
EV-010074,LGS-1074-ROUTE,HUB-SEATTLE,HUB-SEATTLE,HUB-HOUSTON,2026-08-01T00:37:02Z,YARD_DEPARTURE,2968,2400,2968,2400,4,30,CLEAR,True,MODERATE,30.3055,-53.4587,2026-08-02T12:37:02Z,CR-FEDEX
EV-010075,LGS-1075-ROUTE,HUB-CHICAGO,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:37:20Z,WAYPOINT_SCAN,3885,3600,3885,3600,6,30,CLEAR,False,LOW,39.2194,-45.5738,2026-08-02T12:37:20Z,CR-FEDEX
EV-010076,LGS-1076-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:37:56Z,HUB_INGEST,4834,3600,4834,3600,3,30,HEAVY_RAIN,False,LOW,39.1451,-34.97,2026-08-04T00:37:56Z,CR-DHL
EV-010077,LGS-1077-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-ATLANTA,2026-08-01T00:38:28Z,YARD_DEPARTURE,2825,2400,2825,2400,2,30,CLEAR,False,HEAVY,38.6767,6.2603,2026-08-02T12:38:28Z,CR-USPS
EV-010078,LGS-1078-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-HOUSTON,2026-08-01T00:38:50Z,HUB_INGEST,4359,2400,4359,2400,25,30,MODERATE,False,LOW,32.7981,-16.1912,2026-08-03T00:38:50Z,CR-DHL
EV-010079,LGS-1079-ROUTE,HUB-NEWYORK,HUB-LOSANGELES,HUB-DETROIT,2026-08-01T00:39:31Z,WAYPOINT_SCAN,3727,3600,3727,3600,21,30,CLEAR,False,MODERATE,39.0887,-120.2845,2026-08-02T12:39:31Z,CR-USPS
EV-010080,LGS-1080-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-MIAMI,2026-08-01T00:39:57Z,CUSTOMS_CLEARANCE,4600,2400,4600,2400,27,30,FOG,False,LOW,44.056,-67.0579,2026-08-02T00:39:57Z,CR-UPS
EV-010081,LGS-1081-ROUTE,HUB-HOUSTON,HUB-HOUSTON,HUB-SINGAPORE,2026-08-01T00:40:30Z,TRANSFER_ARRIVE,4174,3600,4174,3600,18,30,MODERATE,False,LOW,35.6318,-7.7258,2026-08-02T12:40:30Z,CR-DHL
EV-010082,LGS-1082-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:41:08Z,CUSTOMS_CLEARANCE,300,2400,300,2400,5,30,FOG,False,LOW,50.0733,-120.0895,2026-08-02T12:41:08Z,CR-DHL
EV-010083,LGS-1083-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-CHICAGO,2026-08-01T00:41:36Z,TRANSFER_ARRIVE,3237,3600,3237,3600,22,30,MODERATE,False,HEAVY,26.8487,-39.9193,2026-08-04T00:41:36Z,CR-UPS
EV-010084,LGS-1084-ROUTE,HUB-CHICAGO,HUB-FRANKFURT,HUB-SINGAPORE,2026-08-01T00:41:57Z,TRANSFER_ARRIVE,4074,3600,4074,3600,24,30,CLEAR,False,MODERATE,51.6517,2.5757,2026-08-03T00:41:57Z,CR-MAERSK
EV-010085,LGS-1085-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-ATLANTA,2026-08-01T00:42:22Z,WAYPOINT_SCAN,5843,4800,5843,4800,21,30,SNOWSTORM,False,MODERATE,45.5574,-82.8946,2026-08-02T12:42:22Z,CR-DHL
EV-010086,LGS-1086-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-CHICAGO,2026-08-01T00:42:52Z,WAYPOINT_SCAN,2881,2400,2881,2400,12,30,MODERATE,False,MODERATE,41.0158,-27.5087,2026-08-03T00:42:52Z,CR-UPS
EV-010087,LGS-1087-ROUTE,HUB-HOUSTON,HUB-HOUSTON,HUB-FRANKFURT,2026-08-01T00:43:20Z,CUSTOMS_CLEARANCE,3364,3600,3364,3600,2,30,CLEAR,False,LOW,30.4903,-82.9442,2026-08-02T00:43:20Z,CR-UPS
EV-010088,LGS-1088-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-NEWYORK,2026-08-01T00:43:54Z,YARD_DEPARTURE,6337,3600,6337,3600,29,30,CLEAR,False,LOW,41.9373,-38.5939,2026-08-04T00:43:54Z,CR-UPS
EV-010089,LGS-1089-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-NEWYORK,2026-08-01T00:44:29Z,YARD_DEPARTURE,4684,2400,4684,2400,23,30,CLEAR,True,LOW,46.6562,1.4246,2026-08-03T00:44:29Z,CR-USPS
EV-010090,LGS-1090-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:44:56Z,CUSTOMS_CLEARANCE,1552,2400,1552,2400,5,30,CLEAR,False,LOW,31.8484,-75.1915,2026-08-04T00:44:56Z,CR-UPS
EV-010091,LGS-1091-ROUTE,HUB-LOSANGELES,HUB-ATLANTA,HUB-CHICAGO,2026-08-01T00:45:28Z,TRANSFER_ARRIVE,1990,2400,1990,2400,29,30,CLEAR,False,LOW,26.0772,4.621,2026-08-02T12:45:28Z,CR-UPS
EV-010092,LGS-1092-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-HOUSTON,2026-08-01T00:45:56Z,WAYPOINT_SCAN,5782,4800,5782,4800,27,30,HEAVY_RAIN,False,HEAVY,36.9543,-73.4039,2026-08-02T00:45:56Z,CR-FEDEX
EV-010093,LGS-1093-ROUTE,HUB-CHICAGO,HUB-DETROIT,HUB-SINGAPORE,2026-08-01T00:46:28Z,CUSTOMS_CLEARANCE,2817,2400,2817,2400,18,30,CLEAR,False,MODERATE,33.2197,-72.0994,2026-08-04T00:46:28Z,CR-MAERSK
EV-010094,LGS-1094-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:46:57Z,YARD_DEPARTURE,2116,4800,2116,4800,28,30,CLEAR,False,LOW,32.726,-21.8326,2026-08-02T12:46:57Z,CR-DHL
