event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,actual_dwell,average_dwell,dwell_duration_seconds,avg_dwell_baseline_seconds,yard_queue_count,yard_max_capacity,weather_condition,weather_exception,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id,dwell_normalized,dwell_zscore,dwell_rank,delay_risk_score
EV-010012,LGS-1012-ROUTE,HUB-HOUSTON,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:05:51Z,YARD_DEPARTURE,2858,3600,2858,3600,19,30,CLEAR,True,MODERATE,32.2092,-117.8494,2026-08-02T00:05:51Z,CR-UPS,0.2826207048944868,-0.8752467365787794,8032,0.4267152800795493
EV-010013,LGS-1013-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-NEWYORK,2026-08-01T00:06:31Z,TRANSFER_ARRIVE,5880,3600,5880,3600,18,30,CLEAR,False,LOW,25.4079,-36.1167,2026-08-02T00:06:31Z,CR-DHL,0.6165064633742128,1.082352872241898,1468,0.6127610208816705
EV-010014,LGS-1014-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:06:55Z,WAYPOINT_SCAN,5970,4800,5970,4800,7,30,HEAVY_RAIN,False,HEAVY,37.2421,6.3536,2026-08-03T00:06:55Z,CR-MAERSK,0.6264501160092807,1.1406533238613095,1331,0.4615843553198541
EV-010015,LGS-1015-ROUTE,HUB-MEMPHIS,HUB-MEMPHIS,HUB-CHICAGO,2026-08-01T00:07:21Z,CUSTOMS_CLEARANCE,4870,4800,4870,4800,21,30,CLEAR,False,MODERATE,29.728,-4.9575,2026-08-03T00:07:21Z,CR-DHL,0.5049165838028947,0.42809224851294897,3378,0.5886642359960226
EV-010016,LGS-1016-ROUTE,HUB-MEMPHIS,HUB-MIAMI,HUB-LOSANGELES,2026-08-01T00:07:50Z,WAYPOINT_SCAN,7203,4800,7203,4800,1,30,CLEAR,False,LOW,27.6123,-80.9611,2026-08-02T00:07:50Z,CR-UPS,0.7626781571097117,1.9393695110472444,257,0.45760689426582696
EV-010017,LGS-1017-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:08:31Z,CUSTOMS_CLEARANCE,1561,2400,1561,2400,20,30,CLEAR,False,SEVERE_GRIDLOCK,34.2963,-96.0097,2026-08-04T00:08:31Z,CR-DHL,0.13932162192022982,-1.7154210226940734,9595,0.35502154458070934
EV-010018,LGS-1018-ROUTE,HUB-NEWYORK,HUB-LOSANGELES,HUB-DETROIT,2026-08-01T00:09:01Z,YARD_DEPARTURE,6201,4800,6201,4800,9,30,CLEAR,False,SEVERE_GRIDLOCK,27.1389,4.6449,2026-08-02T00:09:01Z,CR-FEDEX,0.6519721577726219,1.2902911496844651,996,0.5054690089492874
EV-010019,LGS-1019-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-LOSANGELES,2026-08-01T00:09:36Z,HUB_INGEST,2777,2400,2777,2400,8,30,CLEAR,True,HEAVY,42.9392,-65.0858,2026-08-02T12:09:36Z,CR-DHL,0.2736714175229256,-0.9277171430362495,8168,0.26420285051375536
EV-010020,LGS-1020-ROUTE,HUB-HOUSTON,HUB-CHICAGO,HUB-MEMPHIS,2026-08-01T00:09:59Z,TRANSFER_ARRIVE,6740,4800,6740,4800,11,30,CLEAR,False,HEAVY,30.4234,-77.4257,2026-08-04T00:09:59Z,CR-FEDEX,0.711523588553751,1.6394460766051617,505,0.5697712959893935
EV-010021,LGS-1021-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:10:35Z,CUSTOMS_CLEARANCE,4601,3600,4601,3600,7,30,CLEAR,False,LOW,44.1774,-107.9825,2026-08-02T00:10:35Z,CR-DHL,0.4751961109269694,0.2538386764504863,4010,0.3708319522704674
EV-010022,LGS-1022-ROUTE,HUB-MIAMI,HUB-LOSANGELES,HUB-HOUSTON,2026-08-01T00:11:04Z,YARD_DEPARTURE,5516,3600,5516,3600,21,30,CLEAR,True,SEVERE_GRIDLOCK,47.6761,-102.5139,2026-08-04T00:11:04Z,CR-MAERSK,0.5762899127168268,0.846559934581168,2038,0.6314882333443819
EV-010023,LGS-1023-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:11:34Z,HUB_INGEST,5457,4800,5457,4800,17,30,CLEAR,False,MODERATE,45.0151,-24.8671,2026-08-04T00:11:34Z,CR-DHL,0.5697712959893935,0.8083407496306649,2153,0.5704342061650647
EV-010024,LGS-1024-ROUTE,HUB-LOSANGELES,HUB-HOUSTON,HUB-FRANKFURT,2026-08-01T00:12:08Z,YARD_DEPARTURE,4878,4800,4878,4800,28,30,CLEAR,False,MODERATE,45.597,-97.8107,2026-08-04T00:12:08Z,CR-FEDEX,0.505800464037123,0.4332745108791189,3356,0.6891945641365596
EV-010025,LGS-1025-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:12:31Z,TRANSFER_ARRIVE,2902,2400,2902,2400,21,30,MODERATE,False,HEAVY,42.3817,-100.8329,2026-08-03T00:12:31Z,CR-FEDEX,0.28748204618274226,-0.8467442935648449,7942,0.45820351342393106
EV-010026,LGS-1026-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:13:09Z,HUB_INGEST,4419,3600,4419,3600,15,30,CLEAR,False,LOW,35.1601,-81.4985,2026-08-02T00:13:09Z,CR-USPS,0.4550878355982764,0.13594220762012119,4457,0.4730527013589659
EV-010027,LGS-1027-ROUTE,HUB-FRANKFURT,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:13:22Z,CUSTOMS_CLEARANCE,5822,4800,5822,4800,8,30,CLEAR,False,HEAVY,34.4107,-1.6999,2026-08-03T00:13:22Z,CR-MAERSK,0.6100983316760579,1.0447814700871663,1552,0.46605899900563474
EV-010028,LGS-1028-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-ATLANTA,2026-08-01T00:13:54Z,CUSTOMS_CLEARANCE,6218,4800,6218,4800,20,30,MODERATE,False,MODERATE,40.3614,-45.4356,2026-08-03T00:13:54Z,CR-UPS,0.6538504032703568,1.3013034572125761,978,0.6637388133907856
EV-010029,LGS-1029-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-SEATTLE,2026-08-01T00:14:38Z,CUSTOMS_CLEARANCE,4219,3600,4219,3600,12,30,CLEAR,False,MODERATE,31.6973,-20.3706,2026-08-02T12:14:38Z,CR-FEDEX,0.43299082974256986,0.006385648465873841,4975,0.41693735498839907
EV-010030,LGS-1030-ROUTE,HUB-DETROIT,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:14:56Z,CUSTOMS_CLEARANCE,6215,4800,6215,4800,5,30,HEAVY_RAIN,False,MODERATE,34.3055,-27.9485,2026-08-02T12:14:56Z,CR-MAERSK,0.6535189481825213,1.2993601088252624,984,0.4492542260523699
EV-010031,LGS-1031-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-LOSANGELES,2026-08-01T00:15:28Z,HUB_INGEST,6862,3600,6862,3600,8,30,CLEAR,False,MODERATE,29.1931,3.2345,2026-08-04T00:15:28Z,CR-USPS,0.725002762125732,1.7184755776892526,435,0.5350016572754392
EV-010032,LGS-1032-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:15:56Z,TRANSFER_ARRIVE,4532,4800,4532,4800,5,30,MODERATE,False,LOW,46.0637,-31.7955,2026-08-04T00:15:56Z,CR-FEDEX,0.46757264390675063,0.20914166354227096,4167,0.3376864434869075
EV-010033,LGS-1033-ROUTE,HUB-SEATTLE,HUB-MEMPHIS,HUB-HOUSTON,2026-08-01T00:16:37Z,HUB_INGEST,5405,3600,5405,3600,14,30,CLEAR,False,SEVERE_GRIDLOCK,44.8619,-108.0944,2026-08-02T12:16:37Z,CR-MAERSK,0.5640260744669098,0.7746560442505607,2249,0.5241299303944316
EV-010034,LGS-1034-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:16:53Z,CUSTOMS_CLEARANCE,2184,2400,2184,2400,4,30,CLEAR,True,LOW,38.5879,-97.7177,2026-08-02T12:16:53Z,CR-MAERSK,0.20815379516075572,-1.311852340928593,9028,0.16774941995359627
EV-010035,LGS-1035-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-DETROIT,2026-08-01T00:17:33Z,TRANSFER_ARRIVE,4268,4800,4268,4800,27,30,CLEAR,False,HEAVY,34.9785,-30.1161,2026-08-02T00:17:33Z,CR-DHL,0.438404596177218,0.038127005458664445,4858,0.6344713291349022
EV-010036,LGS-1036-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-NEWYORK,2026-08-01T00:18:07Z,WAYPOINT_SCAN,7122,4800,7122,4800,15,30,CLEAR,False,MODERATE,43.8102,-95.9731,2026-08-04T00:18:07Z,CR-USPS,0.7537288697381505,1.8868991045897743,295,0.6522373218428903
EV-010037,LGS-1037-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:18:28Z,WAYPOINT_SCAN,4320,4800,4320,4800,20,30,MODERATE,False,HEAVY,27.2863,-13.3991,2026-08-04T00:18:28Z,CR-USPS,0.4441498176997017,0.07181171083876875,4724,0.5379184620483924
EV-010038,LGS-1038-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:18:51Z,HUB_INGEST,2969,2400,2969,2400,29,30,CLEAR,False,LOW,26.2892,-6.245,2026-08-02T12:18:51Z,CR-DHL,0.29488454314440393,-0.8033428462481721,7815,0.5769307258866424
EV-010039,LGS-1039-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-MEMPHIS,2026-08-01T00:19:39Z,CUSTOMS_CLEARANCE,4440,4800,4440,4800,22,30,CLEAR,False,HEAVY,43.8937,-69.0569,2026-08-02T00:19:39Z,CR-MAERSK,0.4574080212131256,0.14954564633131717,4412,0.5744448127278754
EV-010040,LGS-1040-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-CHICAGO,2026-08-01T00:20:04Z,WAYPOINT_SCAN,8301,4800,8301,4800,10,30,CLEAR,False,MODERATE,39.8517,-73.3854,2026-08-02T12:20:04Z,CR-DHL,0.8839907192575406,2.6506350208040623,30,0.6589658601259529
EV-010041,LGS-1041-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:20:26Z,WAYPOINT_SCAN,4166,3600,4166,3600,17,30,CLEAR,True,HEAVY,44.7974,-108.6949,2026-08-02T12:20:26Z,CR-DHL,0.42713512319080765,-0.027946839710001708,5117,0.48485250248591316
EV-010042,LGS-1042-ROUTE,HUB-CHICAGO,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:21:01Z,YARD_DEPARTURE,4080,4800,4080,4800,4,30,MODERATE,False,LOW,32.5485,1.6055,2026-08-03T00:21:01Z,CR-MAERSK,0.4176334106728538,-0.08365616014632807,5298,0.29343718926085516
EV-010043,LGS-1043-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-SEATTLE,2026-08-01T00:21:27Z,YARD_DEPARTURE,4359,4800,4359,4800,1,30,CLEAR,False,HEAVY,27.924,-59.2415,2026-08-04T00:21:27Z,CR-UPS,0.4484587338415645,0.09707523987384699,4620,0.2690752403049387
EV-010044,LGS-1044-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-LOSANGELES,2026-08-01T00:22:04Z,TRANSFER_ARRIVE,6745,3600,6745,3600,28,30,MODERATE,False,HEAVY,36.609,-29.4122,2026-08-02T00:22:04Z,CR-FEDEX,0.7120760137001436,1.642684990584018,500,0.8129598939343718
EV-010045,LGS-1045-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-CHICAGO,2026-08-01T00:22:22Z,TRANSFER_ARRIVE,2742,2400,2742,2400,6,30,CLEAR,False,LOW,36.5207,-103.713,2026-08-03T00:22:22Z,CR-MAERSK,0.269804441498177,-0.9503895408882429,8234,0.23331123632747763
EV-010046,LGS-1046-ROUTE,HUB-CHICAGO,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:23:03Z,CUSTOMS_CLEARANCE,2901,2400,2901,2400,8,30,CLEAR,False,LOW,45.4944,-52.1607,2026-08-04T00:23:03Z,CR-DHL,0.2873715611534637,-0.8473920763606162,7944,0.2724229366920782
EV-010047,LGS-1047-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-SINGAPORE,2026-08-01T00:23:36Z,WAYPOINT_SCAN,5981,3600,5981,3600,4,30,CLEAR,True,MODERATE,28.2977,-20.0818,2026-08-02T12:23:36Z,CR-USPS,0.6276654513313445,1.147778934614793,1316,0.4194564136559496
EV-010048,LGS-1048-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-NEWYORK,2026-08-01T00:23:53Z,HUB_INGEST,4528,2400,4528,2400,24,30,CLEAR,False,LOW,50.544,-44.2827,2026-08-02T00:23:53Z,CR-MAERSK,0.4671307037896365,0.206550532359186,4184,0.6088498508452105
EV-010049,LGS-1049-ROUTE,HUB-LOSANGELES,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:24:37Z,HUB_INGEST,1947,2400,1947,2400,14,30,CLEAR,False,LOW,26.5119,-73.7193,2026-08-04T00:24:37Z,CR-USPS,0.18196884322174345,-1.4653768635263762,9286,0.2948955916473318
EV-010050,LGS-1050-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-MIAMI,2026-08-01T00:24:57Z,YARD_DEPARTURE,4446,4800,4446,4800,2,30,CLEAR,False,HEAVY,33.4493,-41.9848,2026-08-02T12:24:57Z,CR-UPS,0.45807093138879684,0.15343234310594459,4398,0.28912827311899236
EV-010051,LGS-1051-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-FRANKFURT,2026-08-01T00:25:23Z,TRANSFER_ARRIVE,4737,4800,4737,4800,5,30,FOG,False,LOW,43.9811,9.4004,2026-08-03T00:25:23Z,CR-UPS,0.49022207490884984,0.3419371366753745,3696,0.35127610208816706
EV-010052,LGS-1052-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-DETROIT,2026-08-01T00:25:51Z,CUSTOMS_CLEARANCE,5007,4800,5007,4800,15,30,SNOWSTORM,True,MODERATE,44.3715,-32.8394,2026-08-02T00:25:51Z,CR-UPS,0.5200530328140537,0.5168384915336084,3066,0.5120318196884321
EV-010053,LGS-1053-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-CHICAGO,2026-08-01T00:26:25Z,YARD_DEPARTURE,3998,2400,3998,2400,19,30,CLEAR,False,MODERATE,40.3105,-57.0786,2026-08-04T00:26:25Z,CR-FEDEX,0.40857363827201415,-0.13677434939956948,5505,0.5022870401060656
EV-010054,LGS-1054-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:26:59Z,YARD_DEPARTURE,5295,4800,5295,4800,14,30,CLEAR,False,LOW,26.9156,-9.5241,2026-08-03T00:26:59Z,CR-UPS,0.5518727212462712,0.7033999367157246,2493,0.5168379184620484
EV-010055,LGS-1055-ROUTE,HUB-NEWYORK,HUB-LOSANGELES,HUB-HOUSTON,2026-08-01T00:27:23Z,CUSTOMS_CLEARANCE,2632,2400,2632,2400,7,30,SNOWSTORM,False,MODERATE,48.1217,-61.4347,2026-08-02T12:27:23Z,CR-DHL,0.2576510882775384,-1.021645648423079,8421,0.24030493868080877
EV-010056,LGS-1056-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:28:07Z,CUSTOMS_CLEARANCE,5406,4800,5406,4800,29,30,MODERATE,False,HEAVY,42.1377,-63.9565,2026-08-02T12:28:07Z,CR-UPS,0.5641365594961882,0.7753038270463318,2246,0.738481935697713
EV-010057,LGS-1057-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:28:31Z,WAYPOINT_SCAN,2322,2400,2322,2400,9,30,CLEAR,False,MODERATE,45.4883,-49.7393,2026-08-04T00:28:31Z,CR-FEDEX,0.22340072920119325,-1.2224583151121624,8863,0.24832615180643025
EV-010058,LGS-1058-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:28:51Z,CUSTOMS_CLEARANCE,6067,3600,6067,3600,1,30,CLEAR,False,MODERATE,35.4282,-81.7517,2026-08-02T12:28:51Z,CR-UPS,0.6371671638492984,1.2034882550511194,1201,0.382300298309579
EV-010059,LGS-1059-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:29:29Z,CUSTOMS_CLEARANCE,3364,3600,3364,3600,24,30,MODERATE,False,MODERATE,31.571,-115.3527,2026-08-02T00:29:29Z,CR-MAERSK,0.33852612970942436,-0.5474686419185336,6991,0.5316871063970832
EV-010060,LGS-1060-ROUTE,HUB-LOSANGELES,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:29:53Z,YARD_DEPARTURE,5432,4800,5432,4800,20,30,CLEAR,False,LOW,44.4425,-74.0965,2026-08-04T00:29:53Z,CR-USPS,0.5670091702574301,0.792146179736384,2207,0.6116340735830295
EV-010061,LGS-1061-ROUTE,HUB-CHICAGO,HUB-FRANKFURT,HUB-SINGAPORE,2026-08-01T00:30:33Z,YARD_DEPARTURE,3740,2400,3740,2400,29,30,CLEAR,False,LOW,47.0189,-26.3999,2026-08-03T00:30:33Z,CR-DHL,0.3800685007181527,-0.30390231070854856,6127,0.6280411004308917
EV-010062,LGS-1062-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-ATLANTA,2026-08-01T00:31:05Z,HUB_INGEST,5009,3600,5009,3600,10,30,CLEAR,False,LOW,46.9381,-59.179,2026-08-04T00:31:05Z,CR-DHL,0.5202740028726107,0.5181340571251509,3062,0.44073583029499497
EV-010063,LGS-1063-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-ATLANTA,2026-08-01T00:31:34Z,HUB_INGEST,3733,3600,3733,3600,11,30,CLEAR,False,LOW,44.3638,-9.6207,2026-08-04T00:31:34Z,CR-UPS,0.37929510551320295,-0.3084367902789472,6145,0.3704342061650646
EV-010064,LGS-1064-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-SEATTLE,2026-08-01T00:31:57Z,HUB_INGEST,6715,4800,6715,4800,21,30,CLEAR,False,HEAVY,28.7516,-100.406,2026-08-03T00:31:57Z,CR-FEDEX,0.7087614628217876,1.6232515067108808,522,0.7109711634073583
EV-010065,LGS-1065-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-NEWYORK,2026-08-01T00:32:33Z,CUSTOMS_CLEARANCE,7971,4800,7971,4800,12,30,CLEAR,True,LOW,30.9883,-95.0219,2026-08-02T12:32:33Z,CR-USPS,0.8475306595956248,2.4368666981995544,73,0.665661252900232
EV-010066,LGS-1066-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-HOUSTON,2026-08-01T00:32:57Z,WAYPOINT_SCAN,5162,2400,5162,2400,1,30,SNOWSTORM,True,LOW,38.5118,-38.0181,2026-08-03T00:32:57Z,CR-FEDEX,0.5371782123522263,0.6172448248781501,2757,0.32230692741133576
EV-010067,LGS-1067-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-ATLANTA,2026-08-01T00:33:35Z,YARD_DEPARTURE,1225,3600,1225,3600,21,30,MODERATE,False,MODERATE,38.6985,-14.5073,2026-08-02T00:33:35Z,CR-UPS,0.1021986520826428,-1.933076042073209,9750,0.34703347696387143
EV-010068,LGS-1068-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-CHICAGO,2026-08-01T00:34:02Z,TRANSFER_ARRIVE,2900,2400,2900,2400,25,30,CLEAR,False,MODERATE,38.1905,-31.1063,2026-08-02T12:34:02Z,CR-FEDEX,0.28726107612418517,-0.8480398591563875,7946,0.5152137885316539
EV-010069,LGS-1069-ROUTE,HUB-SEATTLE,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:34:37Z,WAYPOINT_SCAN,2206,2400,2206,2400,8,30,CLEAR,False,LOW,47.303,-65.0588,2026-08-04T00:34:37Z,CR-USPS,0.21058446580488344,-1.2976011194216257,9007,0.22635067948293006
EV-010070,LGS-1070-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-SINGAPORE,2026-08-01T00:35:04Z,TRANSFER_ARRIVE,6067,4800,6067,4800,24,30,MODERATE,False,LOW,28.3853,-5.7614,2026-08-02T12:35:04Z,CR-USPS,0.6371671638492984,1.2034882550511194,1200,0.7108717268810076
EV-010071,LGS-1071-ROUTE,HUB-MIAMI,HUB-LOSANGELES,HUB-DETROIT,2026-08-01T00:35:32Z,CUSTOMS_CLEARANCE,4262,2400,4262,2400,6,30,CLEAR,False,LOW,46.3911,-33.8087,2026-08-02T12:35:32Z,CR-FEDEX,0.4377416860015468,0.03424030868403702,4873,0.3340735830294995
EV-010072,LGS-1072-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MIAMI,2026-08-01T00:35:58Z,TRANSFER_ARRIVE,1621,2400,1621,2400,12,30,CLEAR,True,MODERATE,25.603,-12.2993,2026-08-02T00:35:58Z,CR-UPS,0.14595072367694178,-1.6765540549477993,9561,0.2447132913490222
EV-010073,LGS-1073-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:36:34Z,HUB_INGEST,5241,3600,5241,3600,9,30,MODERATE,False,LOW,33.723,-2.9792,2026-08-02T12:36:34Z,CR-USPS,0.5459065296652303,0.6684196657440779,2600,0.4418296320848525
EV-010074,LGS-1074-ROUTE,HUB-SEATTLE,HUB-SEATTLE,HUB-HOUSTON,2026-08-01T00:37:02Z,YARD_DEPARTURE,2968,2400,2968,2400,4,30,CLEAR,True,MODERATE,30.3055,-53.4587,2026-08-02T12:37:02Z,CR-FEDEX,0.2947740581151254,-0.8039906290439434,7819,0.2197215777262181
EV-010075,LGS-1075-ROUTE,HUB-CHICAGO,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:37:20Z,WAYPOINT_SCAN,3885,3600,3885,3600,6,30,CLEAR,False,LOW,39.2194,-45.5738,2026-08-02T12:37:20Z,CR-FEDEX,0.39608882996353995,-0.20997380532171925,5766,0.3090818694066954
EV-010076,LGS-1076-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:37:56Z,HUB_INGEST,4834,3600,4834,3600,3,30,HEAVY_RAIN,False,LOW,39.1451,-34.97,2026-08-04T00:37:56Z,CR-DHL,0.5009391227488675,0.40477206786518444,3465,0.3291349022207491
EV-010077,LGS-1077-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-ATLANTA,2026-08-01T00:38:28Z,YARD_DEPARTURE,2825,2400,2825,2400,2,30,CLEAR,False,HEAVY,38.6767,6.2603,2026-08-02T12:38:28Z,CR-USPS,0.27897469892829524,-0.8966235688392302,8093,0.18167053364269142
