customer_id,order_id,amount,date,segment
CUST-0610,ORD-1040,1397.05,2025-02-10,Enterprise
CUST-0781,ORD-1041,3256.07,2025-02-11,Enterprise
CUST-0575,ORD-1042,52.58,2025-02-12,SMB
CUST-0799,ORD-1043,1795.22,2025-02-13,Enterprise
CUST-0882,ORD-1044,1558.67,2025-02-14,Enterprise
CUST-0289,ORD-1045,865.05,2025-02-15,Mid-Market
CUST-0786,ORD-1046,2693.74,2025-02-16,Enterprise
CUST-0662,ORD-1047,2449.91,2025-02-17,Consumer
CUST-0975,ORD-1048,3477.56,2025-02-18,Enterprise
CUST-0666,ORD-1049,1383.59,2025-02-19,Mid-Market
CUST-0343,ORD-1050,1258.42,2025-02-20,Mid-Market
CUST-0931,ORD-1051,883.04,2025-02-21,SMB
CUST-0604,ORD-1052,1132.88,2025-02-22,Mid-Market
CUST-0230,ORD-1053,2812.6,2025-02-23,Enterprise
CUST-0584,ORD-1054,2048.99,2025-02-24,Consumer
CUST-0918,ORD-1055,371.22,2025-02-25,SMB
CUST-0746,ORD-1056,1306.88,2025-02-26,Consumer
CUST-0120,ORD-1057,1272.04,2025-02-27,Mid-Market
CUST-0940,ORD-1058,3496.71,2025-02-28,Enterprise
CUST-0266,ORD-1059,3575.74,2025-03-01,Mid-Market
CUST-0373,ORD-1060,783.03,2025-03-02,Mid-Market
CUST-0487,ORD-1061,4988.82,2025-03-03,Mid-Market
CUST-0700,ORD-1062,1370.57,2025-03-04,SMB
CUST-0415,ORD-1063,4884.24,2025-03-05,Mid-Market
CUST-0113,ORD-1064,2084.63,2025-03-06,Consumer
CUST-0341,ORD-1065,213.6,2025-03-07,Mid-Market
CUST-0876,ORD-1066,1758.1,2025-03-08,SMB
CUST-0445,ORD-1067,3190.04,2025-03-09,Enterprise
CUST-0664,ORD-1068,3419.49,2025-03-10,Mid-Market
CUST-0997,ORD-1069,2678.13,2025-03-11,SMB
CUST-0439,ORD-1070,2266.53,2025-03-12,Enterprise
CUST-0191,ORD-1071,2786.82,2025-03-13,Enterprise
CUST-0466,ORD-1072,2983.85,2025-03-14,Consumer
CUST-0554,ORD-1073,450.22,2025-03-15,SMB
CUST-0527,ORD-1074,1879.79,2025-03-16,Enterprise
CUST-0608,ORD-1075,1248.69,2025-03-17,Mid-Market
CUST-0875,ORD-1076,4025.54,2025-03-18,Mid-Market
CUST-0134,ORD-1077,2377.99,2025-03-19,SMB
CUST-0305,ORD-1078,4917.94,2025-03-20,Mid-Market
CUST-0180,ORD-1079,2024.18,2025-03-21,Enterprise
CUST-0661,ORD-1080,4091.34,2025-03-22,Enterprise
CUST-0971,ORD-1081,4001.81,2025-03-23,Mid-Market
CUST-0487,ORD-1082,796.05,2025-03-24,SMB
CUST-0101,ORD-1083,2565.58,2025-03-25,Enterprise
CUST-0489,ORD-1084,3494.27,2025-03-26,Consumer
CUST-0665,ORD-1085,4298.88,2025-03-27,Mid-Market
CUST-0205,ORD-1086,1663.5,2025-03-28,Enterprise
CUST-0871,ORD-1087,1140.19,2025-03-29,Enterprise
CUST-0921,ORD-1088,3570.19,2025-03-30,Enterprise
CUST-0576,ORD-1089,4057.03,2025-03-31,Consumer
CUST-0802,ORD-1090,1775.9,2025-04-01,SMB
CUST-0501,ORD-1091,526.07,2025-04-02,Mid-Market
CUST-0829,ORD-1092,4705.59,2025-04-03,SMB
CUST-0655,ORD-1093,2017.98,2025-04-04,Mid-Market
CUST-0261,ORD-1094,2612.87,2025-04-05,SMB
CUST-0301,ORD-1095,4196.67,2025-04-06,Enterprise
CUST-0369,ORD-1096,3394.67,2025-04-07,Mid-Market
CUST-0962,ORD-1097,3689.32,2025-04-08,Enterprise
CUST-0915,ORD-1098,1084.9,2025-04-09,Enterprise
CUST-0370,ORD-1099,2730.17,2025-04-10,Mid-Market
CUST-0555,ORD-1100,3494.13,2025-04-11,Enterprise
CUST-0561,ORD-1101,1181.32,2025-04-12,Enterprise
CUST-0826,ORD-1102,916.03,2025-04-13,Mid-Market
CUST-0351,ORD-1103,4911.73,2025-04-14,Consumer
CUST-0801,ORD-1104,2607.35,2025-04-15,Enterprise
CUST-0395,ORD-1105,1341.1,2025-04-16,Enterprise
CUST-0824,ORD-1106,4981.46,2025-04-17,SMB
CUST-0819,ORD-1107,4828.83,2025-04-18,SMB
CUST-0848,ORD-1108,2813.55,2025-04-19,Mid-Market
CUST-0437,ORD-1109,4419.05,2025-04-20,Mid-Market
CUST-0978,ORD-1110,984.1,2025-04-21,SMB
CUST-0152,ORD-1111,1430.41,2025-04-22,Enterprise
CUST-0891,ORD-1112,3516.77,2025-04-23,Consumer
CUST-0316,ORD-1113,4240.97,2025-04-24,Consumer
CUST-0863,ORD-1114,4288.81,2025-04-25,Mid-Market
CUST-0287,ORD-1115,2052.32,2025-04-26,Enterprise
CUST-0479,ORD-1116,4444.46,2025-04-27,Consumer
CUST-0592,ORD-1117,4262.1,2025-04-28,Mid-Market
CUST-0140,ORD-1118,4681.39,2025-04-29,Mid-Market
CUST-0256,ORD-1119,3937.44,2025-04-30,SMB
CUST-0114,ORD-1120,3361.49,2025-05-01,SMB
CUST-0912,ORD-1121,2924.4,2025-05-02,Consumer
CUST-0164,ORD-1122,1892.8,2025-05-03,Consumer
CUST-0956,ORD-1123,4703.66,2025-05-04,Consumer
CUST-0938,ORD-1124,4869.64,2025-05-05,SMB
CUST-0620,ORD-1125,1455.41,2025-05-06,SMB
CUST-0443,ORD-1126,1561.55,2025-05-07,SMB
CUST-0228,ORD-1127,2453.79,2025-05-08,Mid-Market
CUST-0747,ORD-1128,2269.7,2025-05-09,Enterprise
CUST-0571,ORD-1129,4972.56,2025-05-10,SMB
CUST-0162,ORD-1130,920.83,2025-05-11,SMB
CUST-0238,ORD-1131,139.47,2025-05-12,SMB
CUST-0598,ORD-1132,2494.77,2025-05-13,SMB
CUST-0692,ORD-1133,935.17,2025-05-14,SMB
CUST-0491,ORD-1134,1864.02,2025-05-15,Enterprise
CUST-0774,ORD-1135,3733.64,2025-05-16,Mid-Market
CUST-0518,ORD-1136,3618.65,2025-05-17,Enterprise
CUST-0388,ORD-1137,1574.9,2025-05-18,Mid-Market
CUST-0478,ORD-1138,2735.57,2025-05-19,Enterprise
CUST-0872,ORD-1139,2568.63,2025-05-20,SMB
CUST-0589,ORD-1140,3199.85,2025-05-21,Mid-Market
CUST-0330,ORD-1141,1289.79,2025-05-22,SMB
CUST-0140,ORD-1142,2969.86,2025-05-23,Mid-Market
CUST-0127,ORD-1143,4895.52,2025-05-24,SMB
CUST-0234,ORD-1144,2459.37,2025-05-25,Mid-Market
CUST-0300,ORD-1145,4535.19,2025-05-26,Mid-Market
CUST-0939,ORD-1146,2200.25,2025-05-27,Mid-Market
CUST-0879,ORD-1147,1782.89,2025-05-28,SMB
CUST-0132,ORD-1148,3243.26,2025-05-29,Mid-Market
CUST-0147,ORD-1149,3361.17,2025-05-30,Consumer
